dim_0,dim_1,dim_2,worker_id,item,path
0.09003425,-0.6001073,0.60477585,d8mmm1qn,fnfyb,resources/fnfyb.png
-0.08208252,-0.5638672,0.48824656,d8mmm1qn,fnfyw,resources/fnfyw.png
-0.38384768,-0.8957556,0.79090935,d8mmm1qn,fnmob,resources/fnmob.png
-0.35885018,-1.0745559,0.9786418,d8mmm1qn,fnmow,resources/fnmow.png
-0.34842733,-0.9487503,0.8508737,d8mmm1qn,fnmyb,resources/fnmyb.png
0.16163634,-0.80450445,0.79710084,d8mmm1qn,fnmyw,resources/fnmyw.png
0.5652014,0.76185566,-0.49821222,d8mmm1qn,pdcnb,resources/pdcnb.png
0.50350946,1.5169438,-1.3670344,d8mmm1qn,pdcns,resources/pdcns.png
0.70574945,0.70900196,-0.38526043,d8mmm1qn,pdcob,resources/pdcob.png
0.863762,1.1428497,-0.8272769,d8mmm1qn,pdcos,resources/pdcos.png
-0.42122093,0.7258638,-0.9150151,d8mmm1qn,pdhnb,resources/pdhnb.png
0.11272035,0.776812,-0.74523413,d8mmm1qn,pdhns,resources/pdhns.png
-0.30550668,0.84083873,-0.9928009,d8mmm1qn,pdhob,resources/pdhob.png
-0.10685869,0.93661255,-1.0059699,d8mmm1qn,pdhos,resources/pdhos.png
0.6752029,0.8993071,-0.61141384,d8mmm1qn,pncnb,resources/pncnb.png
0.2982414,0.936326,-0.8069232,d8mmm1qn,pncns,resources/pncns.png
0.81071925,1.092631,-0.8045502,d8mmm1qn,pncob,resources/pncob.png
0.5740928,1.0551944,-0.80571145,d8mmm1qn,pncos,resources/pncos.png
-0.31816265,1.060442,-1.2361623,d8mmm1qn,pnhnb,resources/pnhnb.png
0.33767942,0.73518455,-0.5891626,d8mmm1qn,pnhns,resources/pnhns.png
-0.22437958,0.90383357,-1.021462,d8mmm1qn,pnhob,resources/pnhob.png
-0.07146895,0.8722263,-0.92180526,d8mmm1qn,pnhos,resources/pnhos.png
-0.5005203,0.6741721,1.0210884,jn7bbjc0,fdfob,resources/fdfob.png
-0.48461476,0.44188103,0.25614262,jn7bbjc0,fdfow,resources/fdfow.png
-0.384418,0.5905608,0.5102698,jn7bbjc0,fdfyb,resources/fdfyb.png
-0.84047955,0.25517836,-0.4740256,jn7bbjc0,fdfyw,resources/fdfyw.png
-0.6420771,0.67782474,0.47197768,jn7bbjc0,fdmob,resources/fdmob.png
-0.3116818,0.34344095,0.14304191,jn7bbjc0,fdmow,resources/fdmow.png
