dim_0,dim_1,worker_id,item,path
1.0481061,0.44709712,78103,CFD-WF-001-016-A,resources/CFD-WF-001-016-A.JPEG
0.7321855,-0.04254631,78103,CFD-WF-001-027-F,resources/CFD-WF-001-027-F.JPEG
1.2304524,0.45694065,78103,CFD-WF-020-012-A,resources/CFD-WF-020-012-A.JPEG
-0.5770026,-1.5130901,78103,CFD-WF-020-023-HO,resources/CFD-WF-020-023-HO.JPEG
0.7283691,-0.32885218,78103,CFD-WF-020-027-F,resources/CFD-WF-020-027-F.JPEG
0.8550459,-0.002842969,78103,CFD-WF-026-008-A,resources/CFD-WF-026-008-A.JPEG
-0.6721982,-0.7952006,78103,CFD-WF-026-017-HO,resources/CFD-WF-026-017-HO.JPEG
-0.079021,-0.32714584,78103,CFD-WF-026-024-F,resources/CFD-WF-026-024-F.JPEG
-0.44149464,-1.0077823,78103,CFD-WM-023-004-HO,resources/CFD-WM-023-004-HO.JPEG
0.8555459,0.5379836,78103,CFD-WM-023-012-A,resources/CFD-WM-023-012-A.JPEG
0.08994959,-0.2374933,78103,CFD-WM-023-015-F,resources/CFD-WM-023-015-F.JPEG
-0.8684139,-0.81180114,78103,CFD-WM-033-007-HO,resources/CFD-WM-033-007-HO.JPEG
0.7651143,0.45440847,78103,CFD-WM-033-014-A,resources/CFD-WM-033-014-A.JPEG
-0.21153869,-0.42958635,78103,CFD-WM-033-053-F,resources/CFD-WM-033-053-F.JPEG
-0.8846666,-0.821038,78103,CFD-WM-038-005-HO,resources/CFD-WM-038-005-HO.JPEG
1.3613812,0.042092565,78103,CFD-WM-038-011-A,resources/CFD-WM-038-011-A.JPEG
1.3478525,-0.27004552,78103,CFD-WM-038-018-F,resources/CFD-WM-038-018-F.JPEG
1.3615952,1.4672298,77827,CFD-BF-002-004-HO,resources/CFD-BF-002-004-HO.JPEG
-0.7006578,-1.0793148,77827,CFD-BF-002-018-A,resources/CFD-BF-002-018-A.JPEG
0.25692236,0.118304886,77827,CFD-BF-002-022-F,resources/CFD-BF-002-022-F.JPEG
1.1450644,0.9920092,77827,CFD-BF-005-005-HO,resources/CFD-BF-005-005-HO.JPEG
-0.40487877,-0.83391726,77827,CFD-BF-005-020-A,resources/CFD-BF-005-020-A.JPEG
-0.34903285,-0.33914298,77827,CFD-BF-005-022-F,resources/CFD-BF-005-022-F.JPEG
1.2649775,1.0504268,77827,CFD-BF-050-004-HO,resources/CFD-BF-050-004-HO.JPEG
-0.5961598,-1.1155438,77827,CFD-BF-050-012-A,resources/CFD-BF-050-012-A.JPEG
-0.2554054,-0.38146067,77827,CFD-BF-050-036-F,resources/CFD-BF-050-036-F.JPEG
-0.09747487,0.34099713,77827,CFD-BM-002-002-F,resources/CFD-BM-002-002-F.JPEG
1.2491293,1.0964237,77827,CFD-BM-002-007-HO,resources/CFD-BM-002-007-HO.JPEG
-0.58469635,-1.064717,77827,CFD-BM-002-016-A,resources/CFD-BM-002-016-A.JPEG
1.119647,1.0041845,77827,CFD-BM-009-003-HO,resources/CFD-BM-009-003-HO.JPEG
-0.5398898,-0.9173469,77827,CFD-BM-009-008-A,resources/CFD-BM-009-008-A.JPEG
0.24181281,0.33354315,77827,CFD-BM-009-009-F,resources/CFD-BM-009-009-F.JPEG
1.3200907,0.771246,77827,CFD-BM-038-007-HO,resources/CFD-BM-038-007-HO.JPEG
-0.4855415,0.28514487,77827,CFD-BM-038-017-F,resources/CFD-BM-038-017-F.JPEG
-0.771341,-1.1561642,77827,CFD-BM-038-038-A,resources/CFD-BM-038-038-A.JPEG
0.6559862,1.3159044,77827,CFD-WF-001-009-HO,resources/CFD-WF-001-009-HO.JPEG
-0.9656884,-0.91535103,77827,CFD-WF-001-016-A,resources/CFD-WF-001-016-A.JPEG
-0.9342977,0.36491498,77827,CFD-WF-001-027-F,resources/CFD-WF-001-027-F.JPEG
-1.1624197,-0.7407615,77827,CFD-WF-020-012-A,resources/CFD-WF-020-012-A.JPEG
0.70968366,1.0236777,77827,CFD-WF-020-023-HO,resources/CFD-WF-020-023-HO.JPEG
-0.66870475,-0.08075435,77827,CFD-WF-020-027-F,resources/CFD-WF-020-027-F.JPEG
-0.80109054,-1.12979,77827,CFD-WF-026-008-A,resources/CFD-WF-026-008-A.JPEG
0.81076527,0.6249325,77827,CFD-WF-026-017-HO,resources/CFD-WF-026-017-HO.JPEG
0.13149706,-0.4485404,77827,CFD-WF-026-024-F,resources/CFD-WF-026-024-F.JPEG
1.3406868,0.73115396,77827,CFD-WM-023-004-HO,resources/CFD-WM-023-004-HO.JPEG
-1.0006814,-0.8759993,77827,CFD-WM-023-012-A,resources/CFD-WM-023-012-A.JPEG
-0.1957069,0.2931023,77827,CFD-WM-023-015-F,resources/CFD-WM-023-015-F.JPEG
0.786366,0.81327856,77827,CFD-WM-033-007-HO,resources/CFD-WM-033-007-HO.JPEG
-0.80772364,-0.9756705,77827,CFD-WM-033-014-A,resources/CFD-WM-033-014-A.JPEG
0.29905123,-0.006143919,77827,CFD-WM-033-053-F,resources/CFD-WM-033-053-F.JPEG
1.126177,0.99495834,77827,CFD-WM-038-005-HO,resources/CFD-WM-038-005-HO.JPEG
-1.1942095,-0.37651005,77827,CFD-WM-038-011-A,resources/CFD-WM-038-011-A.JPEG
-0.4664855,0.2365526,77827,CFD-WM-038-018-F,resources/CFD-WM-038-018-F.JPEG
0.73196983,-1.154331,79088,CFD-BF-002-004-HO,resources/CFD-BF-002-004-HO.JPEG
-1.0639526,1.2409037,79088,CFD-BF-002-018-A,resources/CFD-BF-002-018-A.JPEG
-0.27625716,-0.07341482,79088,CFD-BF-002-022-F,resources/CFD-BF-002-022-F.JPEG
1.1055609,-1.3969328,79088,CFD-BF-005-005-HO,resources/CFD-BF-005-005-HO.JPEG
-0.5132998,1.0119289,79088,CFD-BF-005-020-A,resources/CFD-BF-005-020-A.JPEG
-0.35431007,0.28749582,79088,CFD-BF-005-022-F,resources/CFD-BF-005-022-F.JPEG
1.4305204,-1.3971804,79088,CFD-BF-050-004-HO,resources/CFD-BF-050-004-HO.JPEG
-0.54242116,1.3116527,79088,CFD-BF-050-012-A,resources/CFD-BF-050-012-A.JPEG
-0.567342,0.03952117,79088,CFD-BF-050-036-F,resources/CFD-BF-050-036-F.JPEG
-0.17013487,-0.009980557,79088,CFD-BM-002-002-F,resources/CFD-BM-002-002-F.JPEG
1.0368736,-1.6006616,79088,CFD-BM-002-007-HO,resources/CFD-BM-002-007-HO.JPEG
-0.7171866,1.213538,79088,CFD-BM-002-016-A,resources/CFD-BM-002-016-A.JPEG
1.4633995,-1.3325477,79088,CFD-BM-009-003-HO,resources/CFD-BM-009-003-HO.JPEG
-1.0400491,1.2628169,79088,CFD-BM-009-008-A,resources/CFD-BM-009-008-A.JPEG
0.07506053,-0.44264385,79088,CFD-BM-009-009-F,resources/CFD-BM-009-009-F.JPEG
1.5112624,-1.3279623,79088,CFD-BM-038-007-HO,resources/CFD-BM-038-007-HO.JPEG
-0.24006368,-0.13893482,79088,CFD-BM-038-017-F,resources/CFD-BM-038-017-F.JPEG
-1.0626857,1.3140361,79088,CFD-BM-038-038-A,resources/CFD-BM-038-038-A.JPEG
0.7238005,-1.4470763,79088,CFD-WF-001-009-HO,resources/CFD-WF-001-009-HO.JPEG
