worker_id,lowest_loss,epoch,counter_from_last_update,n_train_triplets,n_test_triplets
3n7ggxph,0.3632046580314636,49999,472,204,16
b5wma4no,0.4195351302623749,21781,10001,195,25
d8mmm1qn,0.25854042172431946,49999,20,207,13
jn7bbjc0,0.48136577010154724,31256,10001,197,23
pbby694o,0.35626232624053955,49999,10,187,33
group,0.5107196569442749,22018,10001,990,110
